Sample	Cluster
YA00583468	cluster1
YA00596426	cluster1
YA00585162	cluster2
YA00580456	cluster2
YA00580936	cluster2
YA00580198	cluster3
YA00584509	cluster3
YA00576993	cluster3
YA00579461	cluster3
YA00572327	cluster3
YA00572164	cluster3
YA00585820	cluster3
YA00579055	cluster3
YA00588499	cluster3
YA00598358	cluster3
YA00587183	cluster3
YA00590777	cluster3
YA00582095	cluster4
YA00574893	cluster5
YA00574887	cluster6
YA00572355	cluster7
YA00587976	cluster7
YA00580204	cluster7
YA00587177	cluster7
YA00576088	cluster7
YA00585117	cluster7
YA00573231	cluster8
YA00574649	cluster8
YAM0003962	cluster8
YA00571435	cluster8
YA00580195	cluster8
YA00584507	cluster8
YA00572281	cluster9
YA00580996	cluster9
YA00572883	cluster9
YA00585126	cluster9
YA00572328	cluster9
YA00587965	cluster9
YA00586341	cluster9
YA00578987	cluster9
YA00587984	cluster9
YA00594811	cluster9
YA00572875	cluster9
YA00586340	cluster9
YAM0003960	cluster9
YA00583309	cluster9
YA00572334	cluster10
YA00580441	cluster10
YA00587178	cluster10
YA00587185	cluster10
YA00585122	cluster10
YAM0003965	cluster11
YA00578696	cluster11
YA00580954	cluster11
YA00575261	cluster11
YA00580464	cluster11
YA00573634	cluster11
YA00575730	cluster11
YA00574552	cluster11
YAM0003959	cluster11
YA00571453	cluster11
YA00580947	cluster11
YA00572068	cluster11
YA00573380	cluster11
YA00579338	cluster11
YA00575180	cluster11
YA00574895	cluster11
YA00580436	cluster11
YA00580462	cluster11
YA00582281	cluster12
YA00584829	cluster13
YA00587978	cluster13
YA00590797	cluster14
YA00580736	cluster14
YA00584834	cluster14
YA00584831	cluster14
YA00571456	cluster15
YA00574897	cluster16
YA00571441	cluster17
YA00580452	cluster18
YA00580211	cluster19
YA00573032	cluster19
YA00580189	cluster19
YA00580459	cluster19
YA00573230	cluster20
YA00571427	cluster21
YA00579047	cluster22
YA00580193	cluster23
YA00571424	cluster24
YA00577732	cluster25
YA00571425	cluster26
YA00590783	cluster27
YA00576574	cluster28
YA00574679	cluster28
YA00580194	cluster29
YA00571434	cluster30
YA00571811	cluster31
YA00590796	cluster32
YA00571813	cluster33
YA00571423	cluster34
YA00571437	cluster35
YA00580431	cluster36
YA00584826	cluster37
YA00579533	cluster37
YA00587982	cluster38
YA00580979	cluster39
YA00584505	cluster40
YA00585816	cluster41
YA00579937	cluster42
YA00588466	cluster42
YA00576231	cluster42
YA00580214	cluster43
YA00591966	cluster44
YA00576233	cluster44
YA00587180	cluster45
YA00587396	cluster46
YA00574551	cluster47
YA00578078	cluster48
YA00589999	cluster48
YA00541139	cluster49
YA00580201	cluster50
YA00580215	cluster51
YA00587395	cluster52
YA00572335	cluster53
YA00576225	cluster54
YA00590005	cluster55
YA00580202	cluster56
YAM0003963	cluster57
YA00575163	cluster58
YA00594808	cluster59
YAM0003966	cluster60
YA00574900	cluster61
YA00576086	cluster61
YA00571448	cluster62
