Start	End
105274	106765
131332	132922
149483	151046
177493	179359
179269	180946
187383	188889
188881	190489
307827	309597
336510	339123
339314	341024
349574	349982
349885	351526
361284	363159
366100	372814
372770	375761
399485	400100
424219	424744
424727	434729
530701	532264
543124	544780
622743	624627
671946	675966
835651	838102
838401	840906
846109	847963
848053	850090
924901	925414
925311	927660
927787	930535
968374	970294
976822	978253
1020008	1021379
1021294	1021693
1090323	1093194
1093311	1094406
1095028	1096501
1161247	1162522
1162499	1163426
1188371	1190474
1190707	1192198
1211510	1213913
1214463	1214997
1216419	1219080
1262222	1264178
1298714	1299854
1301705	1302731
1338953	1339352
1339299	1340574
1357243	1357675
1384939	1386727
1488104	1490015
1532393	1533683
1561414	1561822
1561719	1563438
1572077	1573907
1606336	1608022
1618159	1619734
1630588	1634677
1635954	1638279
1655559	1656771
1751247	1753383
1855714	1856746
1862297	1865432
1931447	1932704
1932644	1933928
1981564	1984825
2000564	2002520
2025251	2026448
2026427	2026826
2026740	2028021
2028375	2029527
2029854	2030253
2039403	2041470
2041951	2043322
2043334	2044825
2044873	2046892
2048022	2048421
2049871	2051200
2051232	2052738
2061128	2062724
2087921	2089568
2162882	2167361
2167599	2170662
2226194	2227970
2356679	2358083
2357983	2358256
2367309	2367705
2367661	2368492
2381021	2382542
2387152	2388022
2423190	2424888
2600681	2601929
2617617	2618958
2632873	2634148
2634478	2635642
2651703	2651988
2692749	2693934
2705712	2706786
2727286	2727970
2727917	2728316
2795251	2797435
2801204	2806286
2835735	2837313
2921501	2923232
2934996	2936838
2943550	2945035
2960055	2962491
3053864	3055541
3076844	3078128
3078108	3079035
3079259	3080507
3162218	3164165
3200744	3202070
3376889	3378293
3379326	3380502
3380390	3380732
3380629	3381043
3490426	3491701
3501284	3501782
3501744	3502986
3510038	3511367
3527341	3529213
3729314	3736985
3736934	3738050
3738108	3742824
3743661	3753234
3755902	3767152
3778518	3780384
3801603	3803898
3842189	3842819
3842986	3843784
3847115	3847751
3894043	3894439
3894376	3895657
3926519	3930764
3930955	3936760
3939567	3941811
3943762	3945013
3945744	3950313
3969293	3970613
3970655	3972503
3978009	3979548
3997930	3999688
4031354	4033208
4036681	4038100
4060598	4061939
4061849	4062248
4091183	4091567
4093582	4093996
4093890	4094577
4189235	4190282
4190234	4190567
4196121	4196556
4276521	4278135
4350695	4351094
4351025	4352231
4374434	4375733
4375712	4376045
