,MTB,TC00760619_S1,TC00856554_S51,TC00764189,TC00831960_S32,TC00855201_S148,TC00862935_S189,TC00836558_1,TC00777418_S47,TC00832902_S78,TC00780707_S93,TC00838386_S26
MTB,0,360,373,359,377,361,360,377,361,359,358,360
TC00760619_S1,360,0,173,11,177,11,10,183,9,9,6,6
TC00856554_S51,373,173,0,176,10,176,173,82,174,174,171,173
TC00764189,359,11,176,0,178,12,11,184,4,10,11,9
TC00831960_S32,377,177,10,178,0,178,175,84,176,176,173,175
TC00855201_S148,361,11,176,12,178,0,7,184,10,4,11,9
TC00862935_S189,360,10,173,11,175,7,0,181,9,3,8,8
TC00836558_1,377,183,82,184,84,184,181,0,182,182,181,181
TC00777418_S47,361,9,174,4,176,10,9,182,0,8,9,7
TC00832902_S78,359,9,174,10,176,4,3,182,8,0,9,7
TC00780707_S93,358,6,171,11,173,11,8,181,9,9,0,6
TC00838386_S26,360,6,173,9,175,9,8,181,7,7,6,0
