,Frequency,Coverage,Zero coverage bases,Mapped reads
0,100.0 , 138 , 0 , 4990426
1,100.0 , 138 , 0 , 4990426
2,100.0 , 138 , 0 , 4990426
3,100.0 , 138 , 0 , 4990426
4,99.3006993007 , 143 , 0 , 4990426
5,99.3006993007 , 143 , 0 , 4990426
6,99.3006993007 , 143 , 0 , 4990426
7,99.0566037736 , 106 , 0 , 4990426
8,99.0566037736 , 106 , 0 , 4990426
9,99.0566037736 , 106 , 0 , 4990426
10,98.1651376147 , 109 , 0 , 4990426
11,98.1651376147 , 109 , 0 , 4990426
12,100.0 , 143 , 0 , 4990426
13,100.0 , 143 , 0 , 4990426
14,100.0 , 142 , 0 , 4990426
15,100.0 , 142 , 0 , 4990426
16,100.0 , 138 , 0 , 4990426
17,100.0 , 138 , 0 , 4990426
18,100.0 , 165 , 0 , 4990426
19,100.0 , 165 , 0 , 4990426
20,100.0 , 172 , 0 , 4990426
21,100.0 , 169 , 0 , 4990426
22,99.3288590604 , 149 , 0 , 4990426
23,99.3288590604 , 149 , 0 , 4990426
24,100.0 , 157 , 0 , 4990426
25,100.0 , 138 , 0 , 4990426
26,100.0 , 138 , 0 , 4990426
27,100.0 , 138 , 0 , 4990426
28,100.0 , 138 , 0 , 4990426
29,100.0 , 138 , 0 , 4990426
30,100.0 , 146 , 0 , 4990426
31,100.0 , 150 , 0 , 4990426
32,100.0 , 150 , 0 , 4990426
33,100.0 , 172 , 0 , 4990426
34,100.0 , 138 , 0 , 4990426
35,100.0 , 149 , 0 , 4990426
36,100.0 , 118 , 0 , 4990426
37,100.0 , 118 , 0 , 4990426
38,100.0 , 142 , 0 , 4990426
39,99.1596638655 , 119 , 0 , 4990426
40,6.1224489796 , 98 , 0 , 4990426
41,100.0 , 160 , 0 , 4990426
42,99.2907801418 , 141 , 0 , 4990426
43,100.0 , 165 , 0 , 4990426
44,100.0 , 157 , 0 , 4990426
45,100.0 , 172 , 0 , 4990426
46,100.0 , 138 , 0 , 4990426
47,100.0 , 160 , 0 , 4990426
48,99.3006993007 , 143 , 0 , 4990426
49,99.3006993007 , 143 , 0 , 4990426
50,99.0566037736 , 106 , 0 , 4990426
51,99.0566037736 , 106 , 0 , 4990426
52,98.1651376147 , 109 , 0 , 4990426
53,98.1651376147 , 109 , 0 , 4990426
54,100.0 , 143 , 0 , 4990426
55,100.0 , 143 , 0 , 4990426
56,100.0 , 142 , 0 , 4990426
57,100.0 , 142 , 0 , 4990426
58,100.0 , 138 , 0 , 4990426
59,100.0 , 138 , 0 , 4990426
60,100.0 , 165 , 0 , 4990426
61,100.0 , 172 , 0 , 4990426
62,100.0 , 169 , 0 , 4990426
63,99.3288590604 , 149 , 0 , 4990426
64,99.3288590604 , 149 , 0 , 4990426
65,100.0 , 157 , 0 , 4990426
66,100.0 , 146 , 0 , 4990426
67,100.0 , 150 , 0 , 4990426
68,100.0 , 172 , 0 , 4990426
69,100.0 , 138 , 0 , 4990426
70,100.0 , 118 , 0 , 4990426
71,100.0 , 118 , 0 , 4990426
72,100.0 , 142 , 0 , 4990426
73,99.1596638655 , 119 , 0 , 4990426
74,6.1224489796 , 98 , 0 , 4990426
75,100.0 , 160 , 0 , 4990426
76,99.2907801418 , 141 , 0 , 4990426
77,99.3377483444 , 151 , 0 , 6707167
78,99.3377483444 , 151 , 0 , 6707167
79,98.3146067416 , 178 , 0 , 6707167
80,98.3146067416 , 178 , 0 , 6707167
81,100.0 , 180 , 0 , 6707167
82,100.0 , 180 , 0 , 6707167
83,100.0 , 165 , 0 , 6707167
84,100.0 , 165 , 0 , 6707167
85,98.7577639752 , 161 , 0 , 6707167
86,99.4082840237 , 169 , 0 , 6707167
87,99.4082840237 , 169 , 0 , 6707167
88,99.4082840237 , 169 , 0 , 6707167
89,99.4082840237 , 169 , 0 , 6707167
90,99.4082840237 , 169 , 0 , 6707167
91,100.0 , 180 , 0 , 6707167
92,100.0 , 180 , 0 , 6707167
93,100.0 , 188 , 0 , 6707167
94,98.3146067416 , 178 , 0 , 6707167
95,99.3377483444 , 151 , 0 , 6707167
96,99.3377483444 , 151 , 0 , 6707167
97,98.3146067416 , 178 , 0 , 6707167
98,100.0 , 180 , 0 , 6707167
99,100.0 , 180 , 0 , 6707167
100,100.0 , 165 , 0 , 6707167
101,98.7577639752 , 161 , 0 , 6707167
102,100.0 , 180 , 0 , 6707167
103,100.0 , 180 , 0 , 6707167
104,100.0 , 188 , 0 , 6707167
105,100.0 , 81 , 0 , 2566318
106,100.0 , 81 , 0 , 2566318
107,100.0 , 81 , 0 , 2566318
108,100.0 , 81 , 0 , 2566318
109,100.0 , 51 , 0 , 2566318
110,100.0 , 51 , 0 , 2566318
111,100.0 , 51 , 0 , 2566318
112,100.0 , 51 , 0 , 2566318
113,98.4848484848 , 66 , 0 , 2566318
114,98.4848484848 , 66 , 0 , 2566318
115,5.2631578947 , 76 , 0 , 2566318
116,5.2631578947 , 76 , 0 , 2566318
117,5.2631578947 , 76 , 0 , 2566318
118,98.1481481481 , 54 , 0 , 2566318
119,98.1481481481 , 54 , 0 , 2566318
120,100.0 , 78 , 0 , 2566318
121,100.0 , 78 , 0 , 2566318
122,100.0 , 77 , 0 , 2566318
123,100.0 , 77 , 0 , 2566318
124,98.5294117647 , 68 , 0 , 2566318
125,98.5294117647 , 68 , 0 , 2566318
126,100.0 , 69 , 0 , 2566318
127,100.0 , 69 , 0 , 2566318
128,97.0149253731 , 67 , 0 , 2566318
129,98.6842105263 , 76 , 0 , 2566318
130,98.0 , 50 , 0 , 2566318
131,98.0 , 50 , 0 , 2566318
132,98.2456140351 , 57 , 0 , 2566318
133,98.2456140351 , 57 , 0 , 2566318
134,6.25 , 48 , 0 , 2566318
135,98.6486486486 , 74 , 0 , 2566318
136,98.6486486486 , 74 , 0 , 2566318
137,100.0 , 56 , 0 , 2566318
138,100.0 , 56 , 0 , 2566318
139,100.0 , 81 , 0 , 2566318
140,100.0 , 81 , 0 , 2566318
141,100.0 , 81 , 0 , 2566318
142,100.0 , 81 , 0 , 2566318
143,100.0 , 81 , 0 , 2566318
144,100.0 , 51 , 0 , 2566318
145,100.0 , 51 , 0 , 2566318
146,100.0 , 51 , 0 , 2566318
147,100.0 , 51 , 0 , 2566318
148,100.0 , 51 , 0 , 2566318
149,98.4848484848 , 66 , 0 , 2566318
150,98.4848484848 , 66 , 0 , 2566318
151,98.7179487179 , 78 , 0 , 2566318
152,100.0 , 72 , 0 , 2566318
153,100.0 , 47 , 0 , 2566318
154,100.0 , 47 , 0 , 2566318
155,100.0 , 73 , 0 , 2566318
156,100.0 , 75 , 0 , 2566318
157,100.0 , 76 , 0 , 2566318
158,25.4901960784 , 51 , 0 , 2566318
159,100.0 , 64 , 0 , 2566318
160,100.0 , 64 , 0 , 2566318
161,94.5454545455 , 55 , 0 , 2566318
162,100.0 , 75 , 0 , 2566318
163,100.0 , 48 , 0 , 2566318
164,100.0 , 48 , 0 , 2566318
165,8.9285714286 , 56 , 0 , 2566318
166,8.9285714286 , 56 , 0 , 2566318
167,100.0 , 69 , 0 , 2566318
168,98.7179487179 , 78 , 0 , 2566318
169,5.8823529412 , 68 , 0 , 2566318
170,5.0847457627 , 59 , 0 , 2566318
171,7.0175438596 , 57 , 0 , 2566318
172,14.5454545455 , 55 , 0 , 2566318
173,8.9285714286 , 56 , 0 , 2566318
174,100.0 , 75 , 0 , 2566318
175,98.4375 , 64 , 0 , 2566318
176,98.2142857143 , 56 , 0 , 2566318
177,100.0 , 85 , 0 , 2566318
178,100.0 , 70 , 0 , 2566318
179,100.0 , 64 , 0 , 2566318
180,100.0 , 73 , 0 , 2566318
181,100.0 , 75 , 0 , 2566318
182,94.5454545455 , 55 , 0 , 2566318
183,100.0 , 75 , 0 , 2566318
184,98.2142857143 , 56 , 0 , 2566318
185,100.0 , 70 , 0 , 2566318
186,100.0 , 64 , 0 , 2566318
187,98.1481481481 , 54 , 0 , 2566318
188,98.1481481481 , 54 , 0 , 2566318
189,100.0 , 78 , 0 , 2566318
